There,3,0,,was a man named Bjarni 
was,3,1,There ,a man named Bjarni who 
a,3,2,There was ,man named Bjarni who dwelt 
man,3,3,There was a ,named Bjarni who dwelt at 
named,3,4,There was a man ,Bjarni who dwelt at a 
Bjarni,3,5,There was a man named ,who dwelt at a stead 
who,3,6,was a man named Bjarni ,dwelt at a stead called 
dwelt,3,7,a man named Bjarni who ,at a stead called Langarhús 
at,3,8,man named Bjarni who dwelt ,a stead called Langarhús in 
a,3,9,named Bjarni who dwelt at ,stead called Langarhús in Hrafnkelsdalr 
stead,3,10,Bjarni who dwelt at a ,called Langarhús in Hrafnkelsdalr He 
called,3,11,who dwelt at a stead ,Langarhús in Hrafnkelsdalr He was 
Langarhús,3,12,dwelt at a stead called ,in Hrafnkelsdalr He was married 
in,3,13,at a stead called Langarhús ,Hrafnkelsdalr He was married and 
Hrafnkelsdalr,3,14,a stead called Langarhús in ,He was married and had 
He,3,15,stead called Langarhús in Hrafnkelsdalr ,was married and had begotten 
was,3,16,called Langarhús in Hrafnkelsdalr He ,married and had begotten sons 
married,3,17,Langarhús in Hrafnkelsdalr He was ,and had begotten sons with 
and,3,18,in Hrafnkelsdalr He was married ,had begotten sons with his 
had,3,19,Hrafnkelsdalr He was married and ,begotten sons with his wife 
begotten,3,20,He was married and had ,sons with his wife one 
sons,3,21,was married and had begotten ,with his wife one of 
with,3,22,married and had begotten sons ,his wife one of whom 
his,3,23,and had begotten sons with ,wife one of whom was 
wife,3,24,had begotten sons with his ,one of whom was called 
one,3,25,begotten sons with his wife ,of whom was called Sámr 
of,3,26,sons with his wife one ,whom was called Sámr the 
whom,3,27,with his wife one of ,was called Sámr the other 
was,3,28,his wife one of whom ,called Sámr the other Eyvindr 
called,3,29,wife one of whom was ,Sámr the other Eyvindr goodly 
Sámr,3,30,one of whom was called ,the other Eyvindr goodly men 
the,3,31,of whom was called Sámr ,other Eyvindr goodly men and 
other,3,32,whom was called Sámr the ,Eyvindr goodly men and promising 
Eyvindr,3,33,was called Sámr the other ,goodly men and promising Eyvindr 
goodly,3,34,called Sámr the other Eyvindr ,men and promising Eyvindr stayed 
men,3,35,Sámr the other Eyvindr goodly ,and promising Eyvindr stayed at 
and,3,36,the other Eyvindr goodly men ,promising Eyvindr stayed at home 
promising,3,37,other Eyvindr goodly men and ,Eyvindr stayed at home with 
Eyvindr,3,38,Eyvindr goodly men and promising ,stayed at home with his 
stayed,3,39,goodly men and promising Eyvindr ,at home with his father 
at,3,40,men and promising Eyvindr stayed ,home with his father but 
home,3,41,and promising Eyvindr stayed at ,with his father but Sámr 
with,3,42,promising Eyvindr stayed at home ,his father but Sámr was 
his,3,43,Eyvindr stayed at home with ,father but Sámr was married 
father,3,44,stayed at home with his ,but Sámr was married and 
but,3,45,at home with his father ,Sámr was married and had 
Sámr,3,46,home with his father but ,was married and had his 
was,3,47,with his father but Sámr ,married and had his abode 
married,3,48,his father but Sámr was ,and had his abode on 
and,3,49,father but Sámr was married ,had his abode on the 
had,3,50,but Sámr was married and ,his abode on the northern 
his,3,51,Sámr was married and had ,abode on the northern side 
abode,3,52,was married and had his ,on the northern side of 
on,3,53,married and had his abode ,the northern side of the 
the,3,54,and had his abode on ,northern side of the valley 
northern,3,55,had his abode on the ,side of the valley at 
side,3,56,his abode on the northern ,of the valley at a 
of,3,57,abode on the northern side ,the valley at a place 
the,3,58,on the northern side of ,valley at a place called 
valley,3,59,the northern side of the ,at a place called Leikskálar 
at,3,60,northern side of the valley ,a place called Leikskálar and 
a,3,61,side of the valley at ,place called Leikskálar and was 
place,3,62,of the valley at a ,called Leikskálar and was right 
called,3,63,the valley at a place ,Leikskálar and was right well 
Leikskálar,3,64,valley at a place called ,and was right well off 
and,3,65,at a place called Leikskálar ,was right well off for 
was,3,66,a place called Leikskálar and ,right well off for live-stock 
right,3,67,place called Leikskálar and was ,well off for live-stock Sámr 
well,3,68,called Leikskálar and was right ,off for live-stock Sámr was 
off,3,69,Leikskálar and was right well ,for live-stock Sámr was a 
for,3,70,and was right well off ,live-stock Sámr was a turbulent 
live-stock,3,71,was right well off for ,Sámr was a turbulent fellow 
Sámr,3,72,right well off for live-stock ,was a turbulent fellow and 
was,3,73,well off for live-stock Sámr ,a turbulent fellow and skilled 
a,3,74,off for live-stock Sámr was ,turbulent fellow and skilled in 
turbulent,3,75,for live-stock Sámr was a ,fellow and skilled in law 
fellow,3,76,live-stock Sámr was a turbulent ,and skilled in law withal 
and,3,77,Sámr was a turbulent fellow ,skilled in law withal but 
skilled,3,78,was a turbulent fellow and ,in law withal but Eyvindr 
in,3,79,a turbulent fellow and skilled ,law withal but Eyvindr became 
law,3,80,turbulent fellow and skilled in ,withal but Eyvindr became a 
withal,3,81,fellow and skilled in law ,but Eyvindr became a traveller 
but,3,82,and skilled in law withal ,Eyvindr became a traveller and 
Eyvindr,3,83,skilled in law withal but ,became a traveller and went 
became,3,84,in law withal but Eyvindr ,a traveller and went to 
a,3,85,law withal but Eyvindr became ,traveller and went to Norway 
traveller,3,86,withal but Eyvindr became a ,and went to Norway where 
and,3,87,but Eyvindr became a traveller ,went to Norway where he 
went,3,88,Eyvindr became a traveller and ,to Norway where he dwelt 
to,3,89,became a traveller and went ,Norway where he dwelt for 
Norway,3,90,a traveller and went to ,where he dwelt for the 
where,3,91,traveller and went to Norway ,he dwelt for the first 
he,3,92,and went to Norway where ,dwelt for the first winter 
dwelt,3,93,went to Norway where he ,for the first winter from 
for,3,94,to Norway where he dwelt ,the first winter from there 
the,3,95,Norway where he dwelt for ,first winter from there he 
first,3,96,where he dwelt for the ,winter from there he went 
winter,3,97,he dwelt for the first ,from there he went abroad 
from,3,98,dwelt for the first winter ,there he went abroad into 
there,3,99,for the first winter from ,he went abroad into foreign 
he,3,100,the first winter from there ,went abroad into foreign lands 
went,3,101,first winter from there he ,abroad into foreign lands coming 
abroad,3,102,winter from there he went ,into foreign lands coming at 
into,3,103,from there he went abroad ,foreign lands coming at last 
foreign,3,104,there he went abroad into ,lands coming at last to 
lands,3,105,he went abroad into foreign ,coming at last to a 
coming,3,106,went abroad into foreign lands ,at last to a stay 
at,3,107,abroad into foreign lands coming ,last to a stay in 
last,3,108,into foreign lands coming at ,to a stay in Constantinople 
to,3,109,foreign lands coming at last ,a stay in Constantinople where 
a,3,110,lands coming at last to ,stay in Constantinople where he 
stay,3,111,coming at last to a ,in Constantinople where he was 
in,3,112,at last to a stay ,Constantinople where he was right 
Constantinople,3,113,last to a stay in ,where he was right honourably 
where,3,114,to a stay in Constantinople ,he was right honourably received 
he,3,115,a stay in Constantinople where ,was right honourably received by 
was,3,116,stay in Constantinople where he ,right honourably received by the 
right,3,117,in Constantinople where he was ,honourably received by the Greek 
honourably,3,118,Constantinople where he was right ,received by the Greek king 
received,3,119,where he was right honourably ,by the Greek king and 
by,3,120,he was right honourably received ,the Greek king and where 
the,3,121,was right honourably received by ,Greek king and where for 
Greek,3,122,right honourably received by the ,king and where for a 
king,3,123,honourably received by the Greek ,and where for a while 
and,3,124,received by the Greek king ,where for a while he 
where,3,125,by the Greek king and ,for a while he spent 
for,3,126,the Greek king and where ,a while he spent his 
a,3,127,Greek king and where for ,while he spent his time 
while,3,128,king and where for a ,he spent his time Of 
he,3,129,and where for a while ,spent his time Of all 
spent,3,130,where for a while he ,his time Of all his 
his,3,131,for a while he spent ,time Of all his possessions 
time,3,132,a while he spent his ,Of all his possessions there 
Of,3,133,while he spent his time ,all his possessions there was 
all,3,134,he spent his time Of ,his possessions there was one 
his,3,135,spent his time Of all ,possessions there was one for 
possessions,3,136,his time Of all his ,there was one for which 
there,3,137,time Of all his possessions ,was one for which Hrafnkell 
was,3,138,Of all his possessions there ,one for which Hrafnkell had 
one,3,139,all his possessions there was ,for which Hrafnkell had greater 
for,3,140,his possessions there was one ,which Hrafnkell had greater fondness 
which,3,141,possessions there was one for ,Hrafnkell had greater fondness than 
Hrafnkell,3,142,there was one for which ,had greater fondness than any 
had,3,143,was one for which Hrafnkell ,greater fondness than any other 
greater,3,144,one for which Hrafnkell had ,fondness than any other This 
fondness,3,145,for which Hrafnkell had greater ,than any other This was 
than,3,146,which Hrafnkell had greater fondness ,any other This was a 
any,3,147,Hrafnkell had greater fondness than ,other This was a horse 
other,3,148,had greater fondness than any ,This was a horse of 
This,3,149,greater fondness than any other ,was a horse of a 
was,3,150,fondness than any other This ,a horse of a roan 
a,3,151,than any other This was ,horse of a roan colour 
horse,3,152,any other This was a ,of a roan colour which 
of,3,153,other This was a horse ,a roan colour which he 
a,3,154,This was a horse of ,roan colour which he called 
roan,3,155,was a horse of a ,colour which he called Freymane 
colour,3,156,a horse of a roan ,which he called Freymane He 
which,3,157,horse of a roan colour ,he called Freymane He gave 
he,3,158,of a roan colour which ,called Freymane He gave unto 
called,3,159,a roan colour which he ,Freymane He gave unto his 
Freymane,3,160,roan colour which he called ,He gave unto his friend 
He,3,161,colour which he called Freymane ,gave unto his friend Frey 
gave,3,162,which he called Freymane He ,unto his friend Frey the 
unto,3,163,he called Freymane He gave ,his friend Frey the half 
his,3,164,called Freymane He gave unto ,friend Frey the half of 
friend,3,165,Freymane He gave unto his ,Frey the half of this 
Frey,3,166,He gave unto his friend ,the half of this horse 
the,3,167,gave unto his friend Frey ,half of this horse and 
half,3,168,unto his friend Frey the ,of this horse and so 
of,3,169,his friend Frey the half ,this horse and so great 
this,3,170,friend Frey the half of ,horse and so great a 
horse,3,171,Frey the half of this ,and so great a love 
and,3,172,the half of this horse ,so great a love had 
so,3,173,half of this horse and ,great a love had he 
great,3,174,of this horse and so ,a love had he for 
a,3,175,this horse and so great ,love had he for it 
love,3,176,horse and so great a ,had he for it that 
had,3,177,and so great a love ,he for it that he 
he,3,178,so great a love had ,for it that he made 
for,3,179,great a love had he ,it that he made a 
it,3,180,a love had he for ,that he made a solemn 
that,3,181,love had he for it ,he made a solemn vow 
he,3,182,had he for it that ,made a solemn vow that 
made,3,183,he for it that he ,a solemn vow that he 
a,3,184,for it that he made ,solemn vow that he would 
solemn,3,185,it that he made a ,vow that he would kill 
vow,3,186,that he made a solemn ,that he would kill any 
that,3,187,he made a solemn vow ,he would kill any one 
he,3,188,made a solemn vow that ,would kill any one who 
would,3,189,a solemn vow that he ,kill any one who should 
kill,3,190,solemn vow that he would ,any one who should ride 
any,3,191,vow that he would kill ,one who should ride the 
one,3,192,that he would kill any ,who should ride the horse 
who,3,193,he would kill any one ,should ride the horse without 
should,3,194,would kill any one who ,ride the horse without his 
ride,3,195,kill any one who should ,the horse without his leave 
the,3,196,any one who should ride ,horse without his leave 
horse,3,197,one who should ride the ,without his leave 
without,3,198,who should ride the horse ,his leave 
his,3,199,should ride the horse without ,leave 
leave,3,200,ride the horse without his ,
